huidige plaatsnaam	standplaats	ngraad	nminuut	nseconde	nnr	ograad	ominuut	oseconde	onr	gid	nr	volgnr
Ahaus	Ahaus	52	4	34	6929	4	40	21	1259	2	58	2
Dokkum	Dockum	53	19	39	8174	3	39	47	875	25	91	27
Drachten	Drachten	53	6	25	6290	3	45	59	4002	27	90	29
Duinkerken Dunkerque	51	2	8	7300	0	2	23	0	28	0	30
	Watten	50	49	42	7089	\N	\N	\N	\N	114	113	110
Dordrecht	Dortrecht	51	48	52	4872	2	19	28	9448	26	32	28
Edam	Edam (clocher à Carillon)	52	30	46	4149	2	42	42	9520	29	73	31
Emden	Emden (Hôtel de Ville)	53	22	3	9360	4	52	22	6251	30	106	32
	Grand (clocher de saint Bavon)	51	3	11	6898	1	23	26	8204	33	9	36
Gieten	Gieten	53	0	22	5553	4	25	47	5123	34	113	37
Harderwijk	Harderwijk (signal su la grande Eglise)	52	20	58	4046	3	16	54	3757	43	53	45
Gouda	Gouda	52	0	40	1082	2	22	31	5527	36	21	39
Grave	Grave	51	45	37	5316	3	24	19	4020	37	41	40
Groenlo	Grol	52	22	34	409	4	17	1	1918	38	55	41
Haarlem	Haarlem	52	22	53	7614	2	18	7	881	40	23	43
Hage	Hagen	53	36	12	415	4	57	0	474	41	108	44
Hooglede	Hoogleden	50	58	42	2256	0	44	45	6905	52	7	55
Gorinchem	Gorinchem	51	49	47	6597	2	38	15	3505	35	31	38
Groningen	Groningue (grand clocher)	53	13	12	7833	4	14	2	6354	39	92	42
Aardenburg	Aardenbourg	51	16	23	8279	1	6	43	4912	1	10	1
Alkmaar	Alkmaar (clocher du poids)	52	37	54	9665	2	24	53	7726	3	72	3
Aurich	Aurich (clocher de l'Eglise Luthérienne)	53	28	13	7154	5	8	46	7759	10	109	10
